,Model name,Population,TP,TN,FP,FN,Prevalence,Accuracy,Precision,NPV,FDR,FOR,check_Pos,check_Neg,Recall,FPR,FNR,TNR,check_Pos2,check_Neg2,LR+,LR-,DOR,F1,FBeta,MCC,BM,MK,FM,PT,TS,BA,Ham,Jac(TS),AUC,Image pre-processing(s),ROI-M(s),OFC(s),GAN(s),CVSC time(s),Total time(s)
98,"CVSC1 ('O', 'B')",40.0,11.0,15.0,5.0,9.0,0.5,0.65,0.6875,0.625,0.3125,0.375,1.0,1.0,0.55,0.25,0.45,0.75,1.0,1.0,2.2,0.6,3.6667,0.6111,0.6448,0.3062,0.30000000000000004,0.3125,0.6149,0.4027,0.44,0.65,0.35,0.44,0.65,1.1204473972320557,51.60571908354759,0.18440179228782655,7.424094039201736,101.48146511912346,102.60191251635551
99,"CVSC FMT ('O', 'D', 'B', 'T')",40.0,8.0,20.0,0.0,12.0,0.5,0.7,1.0,0.625,0.0,0.375,1.0,1.0,0.4,0.0,0.6,1.0,1.0,1.0,inf,0.6,inf,0.5714,0.7158,0.5,0.3999999999999999,0.625,0.6325,0.0,0.4,0.7,0.3,0.4,0.7,1.93525088429451,11.174572253227234,0.05393609404563904,2.6910060465335848,44.83608202934265,46.77133291363716
100,"CVSC FMT ('C', 'T')",40.0,14.0,19.0,1.0,6.0,0.5,0.825,0.9333,0.76,0.0667,0.24,1.0,1.0,0.7,0.05,0.3,0.95,1.0,1.0,14.0,0.3158,44.3319,0.8,0.8576,0.6713,0.6499999999999999,0.6933,0.8083,0.2109,0.6667,0.825,0.175,0.6667,0.825,1.4157584369182588,23.544428956508636,0.0685291349887848,3.36622896194458,58.41745637655258,59.83321481347084
101,"CVSC FMT ('D', 'B')",40.0,14.0,14.0,6.0,6.0,0.5,0.7,0.7,0.7,0.3,0.3,1.0,1.0,0.7,0.3,0.3,0.7,1.0,1.0,2.3333,0.4286,5.444,0.7,0.7,0.4,0.3999999999999999,0.3999999999999999,0.7,0.3956,0.5385,0.7,0.3,0.5385,0.7,3.4416356146335603,57.44951969385147,0.3296533703804016,10.294689321517945,116.03169603347779,119.47333164811134
102,"CVSC FMT ('C', 'B')",40.0,14.0,14.0,6.0,6.0,0.5,0.7,0.7,0.7,0.3,0.3,1.0,1.0,0.7,0.3,0.3,0.7,1.0,1.0,2.3333,0.4286,5.444,0.7,0.7,0.4,0.3999999999999999,0.3999999999999999,0.7,0.3956,0.5385,0.7,0.3,0.5385,0.7,1.7433237493038178,49.13244549632073,0.25279245972633363,4.3285165429115295,97.33031135201455,99.07363510131836
103,"CVSC FMT ('O', 'T')",40.0,9.0,20.0,0.0,11.0,0.5,0.725,1.0,0.6452,0.0,0.3548,1.0,1.0,0.45,0.0,0.55,1.0,1.0,1.0,inf,0.55,inf,0.6207,0.7556,0.5388,0.44999999999999996,0.6452,0.6708,0.0,0.45,0.725,0.275,0.45,0.725,2.418568825721741,10.588410484790803,0.05920062661170959,3.3822311103343963,41.69009058475494,44.10865941047668
104,"CVSC CNT2 ('C', 'D', 'B', 'T')",40.0,0.0,20.0,0.0,20.0,0.5,0.5,,0.5,,0.5,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,,,,,0.0,,,,0.0,0.5,0.5,0.0,0.5,0.7837326943874359,0.0,0.0,0.0,29.687515759468077,30.471248453855516
105,"CVSC1 ('C', 'O')",40.0,13.0,14.0,6.0,7.0,0.5,0.675,0.6842,0.6667,0.3158,0.3333,1.0,1.0,0.65,0.3,0.35,0.7,1.0,1.0,2.1667,0.5,4.3334,0.6667,0.6748,0.3504,0.3500000000000001,0.3509,0.6669,0.4045,0.5,0.675,0.325,0.5,0.675,1.156178730726242,45.14980494976044,0.17195737957954407,3.482739454507828,87.4095805644989,88.56575929522515
106,"CVSC1 ('C', 'O', 'B')",40.0,11.0,16.0,4.0,9.0,0.5,0.675,0.7333,0.64,0.2667,0.36,1.0,1.0,0.55,0.2,0.45,0.8,1.0,1.0,2.75,0.5625,4.8889,0.6286,0.6739,0.3615,0.3500000000000001,0.37329999999999997,0.6351,0.3762,0.4583,0.675,0.325,0.4583,0.675,1.143599373102188,45.18128153681755,0.1552663564682007,5.171794229745865,93.12564331889152,94.26924269199371
107,"CVSC MOG2 ('C',)",40.0,14.0,15.0,5.0,6.0,0.5,0.725,0.7368,0.7143,0.2632,0.2857,1.0,1.0,0.7,0.25,0.3,0.75,1.0,1.0,2.8,0.4,7.0,0.7179,0.7267,0.4506,0.44999999999999996,0.45110000000000006,0.7182,0.3741,0.56,0.725,0.275,0.56,0.725,0.9766058921813965,21.182492566108703,0.10989954471588134,2.619390970468521,43.07385756969452,44.050463461875914
