,Model name,Population,TP,TN,FP,FN,Prevalence,Accuracy,Precision,NPV,FDR,FOR,check_Pos,check_Neg,Recall,FPR,FNR,TNR,check_Pos2,check_Neg2,LR+,LR-,DOR,F1,FBeta,MCC,BM,MK,FM,PT,TS,BA,Ham,Jac(TS),AUC,Image pre-processing(s),ROI-M(s),OFC(s),GAN(s),CVSC time(s),Total time(s)
0,"CVSC1 ('D',)",40.0,12.0,14.0,6.0,8.0,0.5,0.65,0.6667,0.6364,0.3333,0.3636,1.0,1.0,0.6,0.3,0.4,0.7,1.0,1.0,2.0,0.5714,3.5002,0.6316,0.6476,0.3015,0.2999999999999998,0.3030999999999999,0.6325,0.4142,0.4615,0.65,0.35,0.4615,0.65,1.1847620904445648,49.977464616298676,0.22105662226676942,6.100963056087494,100.94611387848855,102.13087596893311
1,"CVSC CNT2 ('T',)",40.0,3.0,20.0,0.0,17.0,0.5,0.575,1.0,0.5405,0.0,0.4595,1.0,1.0,0.15,0.0,0.85,1.0,1.0,1.0,inf,0.85,inf,0.2609,0.4,0.2847,0.1499999999999999,0.5405,0.3873,0.0,0.15,0.575,0.425,0.15,0.575,0.6918182671070099,3.4247715532779694,0.00818684697151184,0.5117885410785675,46.825469988584516,47.517288255691525
2,"CVSC1 ('B', 'T')",40.0,2.0,20.0,0.0,18.0,0.5,0.55,1.0,0.5263,0.0,0.4737,1.0,1.0,0.1,0.0,0.9,1.0,1.0,1.0,inf,0.9,inf,0.1818,0.2957,0.2294,0.10000000000000009,0.5263,0.3162,0.0,0.1,0.55,0.45,0.1,0.55,0.6195804357528687,1.2737159430980682,0.004714351892471313,0.3372231721878052,31.451991778612136,32.071572214365005
3,"CVSC1 ('C',)",40.0,12.0,13.0,7.0,8.0,0.5,0.625,0.6316,0.619,0.3684,0.381,1.0,1.0,0.6,0.35,0.4,0.65,1.0,1.0,1.7143,0.6154,2.7857,0.6154,0.6229,0.2503,0.25,0.25059999999999993,0.6156,0.433,0.4444,0.625,0.375,0.4444,0.625,1.0677220344543457,49.91528359651566,0.21217151880264282,4.282122778892517,90.69784582853318,91.76556786298752
4,"CVSC MOG2 ('O', 'T')",40.0,6.0,20.0,0.0,14.0,0.5,0.65,1.0,0.5882,0.0,0.4118,1.0,1.0,0.3,0.0,0.7,1.0,1.0,1.0,inf,0.7,inf,0.4615,0.6182,0.4201,0.30000000000000004,0.5882000000000001,0.5477,0.0,0.3,0.65,0.35,0.3,0.65,0.8670219779014587,6.413068753480911,0.051361757516860965,1.8416471242904664,32.695828384161,33.562850362062456
5,"CVSC MOG2 ('C', 'O')",40.0,17.0,18.0,2.0,3.0,0.5,0.875,0.8947,0.8571,0.1053,0.1429,1.0,1.0,0.85,0.1,0.15,0.9,1.0,1.0,8.5,0.1667,50.9898,0.8718,0.8824,0.7509,0.75,0.7518,0.8721,0.2554,0.7727,0.875,0.125,0.7727,0.875,0.9072173297405243,22.220375049114228,0.06518568992614746,5.425452399253845,44.346871852874756,45.25408918261528
6,"CVSC1 ('O',)",40.0,12.0,14.0,6.0,8.0,0.5,0.65,0.6667,0.6364,0.3333,0.3636,1.0,1.0,0.6,0.3,0.4,0.7,1.0,1.0,2.0,0.5714,3.5002,0.6316,0.6476,0.3015,0.2999999999999998,0.3030999999999999,0.6325,0.4142,0.4615,0.65,0.35,0.4615,0.65,1.0950005114078523,51.14369770884514,0.20686452388763427,5.289709049463272,97.87191750407219,98.96691801548005
7,"CVSC1 ('C', 'D', 'B', 'T')",40.0,0.0,20.0,0.0,20.0,0.5,0.5,,0.5,,0.5,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,,,,,0.0,,,,0.0,0.5,0.5,0.0,0.5,0.6742168545722962,0.0,0.0,0.0,29.124006193876266,29.798223048448563
8,"CVSC CNT2 ('C', 'O', 'T')",40.0,0.0,20.0,0.0,20.0,0.5,0.5,,0.5,,0.5,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,,,,,0.0,,,,0.0,0.5,0.5,0.0,0.5,0.6467340052127838,0.0,0.0,0.0,25.528666192293166,26.17540019750595
9,"CVSC CNT2 ('C', 'T')",40.0,0.0,20.0,0.0,20.0,0.5,0.5,,0.5,,0.5,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,,,,,0.0,,,,0.0,0.5,0.5,0.0,0.5,0.896858686208725,0.0,0.0,0.0,31.88481965661049,32.78167834281921
10,"CVSC CNT2 ('C', 'O')",40.0,12.0,17.0,3.0,8.0,0.5,0.725,0.8,0.68,0.2,0.32,1.0,1.0,0.6,0.15,0.4,0.85,1.0,1.0,4.0,0.4706,8.4998,0.6857,0.7351,0.4648,0.44999999999999996,0.48,0.6928,0.3333,0.5217,0.725,0.275,0.5217,0.725,0.7075243830680847,24.312683516740798,0.06475777626037597,3.4999843895435334,59.87197649478912,60.57950087785721
11,"CVSC CNT2 ('C', 'O', 'B')",40.0,14.0,15.0,5.0,6.0,0.5,0.725,0.7368,0.7143,0.2632,0.2857,1.0,1.0,0.7,0.25,0.3,0.75,1.0,1.0,2.8,0.4,7.0,0.7179,0.7267,0.4506,0.44999999999999996,0.45110000000000006,0.7182,0.3741,0.56,0.725,0.275,0.56,0.725,0.7841921091079712,26.17631983757019,0.07290986776351929,4.261132097244262,58.385082584619525,59.169274693727495
12,"CVSC MOG2 ('D', 'B')",40.0,16.0,17.0,3.0,4.0,0.5,0.825,0.8421,0.8095,0.1579,0.1905,1.0,1.0,0.8,0.15,0.2,0.85,1.0,1.0,5.3333,0.2353,22.666,0.8205,0.8305,0.6508,0.6499999999999999,0.6516,0.8208,0.3022,0.6957,0.825,0.175,0.6957,0.825,1.1124747931957244,22.674641156196593,0.11705241799354553,2.575095868110657,50.01894115805626,51.13141595125198
13,"CVSC MOG2 ('C', 'D')",40.0,17.0,16.0,4.0,3.0,0.5,0.825,0.8095,0.8421,0.1905,0.1579,1.0,1.0,0.85,0.2,0.15,0.8,1.0,1.0,4.25,0.1875,22.6667,0.8293,0.8198,0.6508,0.6499999999999999,0.6516,0.8295,0.3266,0.7083,0.825,0.175,0.7083,0.825,1.0876694560050963,25.684334641695024,0.15043585300445556,2.944393867254257,47.32987187504769,48.41754133105278
14,"CVSC MOG2 ('O', 'B')",40.0,7.0,20.0,0.0,13.0,0.5,0.675,1.0,0.6061,0.0,0.3939,1.0,1.0,0.35,0.0,0.65,1.0,1.0,1.0,inf,0.65,inf,0.5185,0.6704,0.4606,0.3500000000000001,0.6061000000000001,0.5916,0.0,0.35,0.675,0.325,0.35,0.675,0.9909201323986053,6.859027880430221,0.02591683864593506,2.002953660488129,33.01245406866074,34.003374201059344
15,"CVSC FMT ('C',)",40.0,14.0,14.0,6.0,6.0,0.5,0.7,0.7,0.7,0.3,0.3,1.0,1.0,0.7,0.3,0.3,0.7,1.0,1.0,2.3333,0.4286,5.444,0.7,0.7,0.4,0.3999999999999999,0.3999999999999999,0.7,0.3956,0.5385,0.7,0.3,0.5385,0.7,2.442922842502594,46.907533186674115,0.4430891633033752,3.68271444439888,93.01208587288856,95.45500871539116
16,"CVSC MOG2 ('C', 'D', 'B')",40.0,18.0,17.0,3.0,2.0,0.5,0.875,0.8571,0.8947,0.1429,0.1053,1.0,1.0,0.9,0.15,0.1,0.85,1.0,1.0,6.0,0.1176,51.0204,0.878,0.8681,0.7509,0.75,0.7518,0.8783,0.2899,0.7826,0.875,0.125,0.7826,0.875,1.1420860171318055,24.283877736330034,0.13009264469146728,2.97902272939682,49.88709347844124,51.02917949557305
17,"CVSC MOG2 ('C', 'T')",40.0,14.0,15.0,5.0,6.0,0.5,0.725,0.7368,0.7143,0.2632,0.2857,1.0,1.0,0.7,0.25,0.3,0.75,1.0,1.0,2.8,0.4,7.0,0.7179,0.7267,0.4506,0.44999999999999996,0.45110000000000006,0.7182,0.3741,0.56,0.725,0.275,0.56,0.725,1.2037306308746338,22.229371815919876,0.13289894461631774,4.253599148988724,46.063404047489165,47.2671346783638
18,"CVSC FMT ('C', 'O', 'B', 'T')",40.0,12.0,19.0,1.0,8.0,0.5,0.775,0.9231,0.7037,0.0769,0.2963,1.0,1.0,0.6,0.05,0.4,0.95,1.0,1.0,12.0,0.4211,28.4968,0.7273,0.8079,0.5871,0.5499999999999998,0.6268,0.7442,0.224,0.5714,0.775,0.225,0.5714,0.775,1.8396806180477143,16.65199065208435,0.047073930501937866,2.9733063340187074,51.07059634923935,52.91027696728706
19,"CVSC CNT2 ('C', 'O', 'D', 'B', 'T')",40.0,0.0,20.0,0.0,20.0,0.5,0.5,,0.5,,0.5,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,,,,,0.0,,,,0.0,0.5,0.5,0.0,0.5,0.826818323135376,0.0,0.0,0.0,30.059567749500275,30.886386072635652
20,CVSC FMT 0,40.0,19.0,10.0,10.0,1.0,0.5,0.725,0.6552,0.9091,0.3448,0.0909,1.0,1.0,0.95,0.5,0.05,0.5,1.0,1.0,1.9,0.1,19.0,0.7755,0.7138,0.5039,0.44999999999999996,0.5643,0.7889,0.4204,0.6333,0.725,0.275,0.6333,0.725,3.6613020837306975,78.09401229023933,0.731629478931427,11.125110197067261,124.50250491499901,128.1638069987297
21,"CVSC FMT ('C', 'O', 'D')",40.0,14.0,14.0,6.0,6.0,0.5,0.7,0.7,0.7,0.3,0.3,1.0,1.0,0.7,0.3,0.3,0.7,1.0,1.0,2.3333,0.4286,5.444,0.7,0.7,0.4,0.3999999999999999,0.3999999999999999,0.7,0.3956,0.5385,0.7,0.3,0.5385,0.7,1.695564979314804,47.085335159301756,0.2549094557762146,3.3346135795116423,92.60272312760353,94.29828810691833
22,"CVSC FMT ('C', 'D', 'T')",40.0,16.0,19.0,1.0,4.0,0.5,0.875,0.9412,0.8261,0.0588,0.1739,1.0,1.0,0.8,0.05,0.2,0.95,1.0,1.0,16.0,0.2105,76.0095,0.8649,0.8992,0.7586,0.75,0.7673000000000001,0.8677,0.2,0.7619,0.875,0.125,0.7619,0.875,2.689566916227341,27.802074003219605,0.10263115763664246,5.406156849861145,73.88638133406639,76.57594825029373
23,"CVSC CNT2 ('C', 'B', 'T')",40.0,0.0,20.0,0.0,20.0,0.5,0.5,,0.5,,0.5,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,,,,,0.0,,,,0.0,0.5,0.5,0.0,0.5,0.8693310678005218,0.0,0.0,0.0,29.138425320386887,30.00775638818741
24,"CVSC1 ('C', 'O', 'T')",40.0,0.0,20.0,0.0,20.0,0.5,0.5,,0.5,,0.5,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,,,,,0.0,,,,0.0,0.5,0.5,0.0,0.5,0.6216451704502106,0.0,0.0,0.0,25.593122917413712,26.214768087863924
25,"CVSC CNT2 ('D', 'B')",40.0,16.0,16.0,4.0,4.0,0.5,0.8,0.8,0.8,0.2,0.2,1.0,1.0,0.8,0.2,0.2,0.8,1.0,1.0,4.0,0.25,16.0,0.8,0.8,0.6,0.6000000000000001,0.6000000000000001,0.8,0.3333,0.6667,0.8,0.2,0.6667,0.8,0.7726169645786285,31.48584503531456,0.0960608720779419,3.1051090180873873,63.44800879359245,64.22062575817108
26,"CVSC FMT ('C', 'D', 'B')",40.0,14.0,14.0,6.0,6.0,0.5,0.7,0.7,0.7,0.3,0.3,1.0,1.0,0.7,0.3,0.3,0.7,1.0,1.0,2.3333,0.4286,5.444,0.7,0.7,0.4,0.3999999999999999,0.3999999999999999,0.7,0.3956,0.5385,0.7,0.3,0.5385,0.7,2.1446504652500153,51.4845028936863,0.2635722100734711,5.907854461669922,104.18700852394105,106.33165898919106
27,"CVSC CNT2 ('C', 'O', 'B', 'T')",40.0,0.0,20.0,0.0,20.0,0.5,0.5,,0.5,,0.5,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,,,,,0.0,,,,0.0,0.5,0.5,0.0,0.5,0.8809679090976715,0.0,0.0,0.0,31.395031017065048,32.27599892616272
28,"CVSC MOG2 ('B', 'T')",40.0,15.0,20.0,0.0,5.0,0.5,0.875,1.0,0.8,0.0,0.2,1.0,1.0,0.75,0.0,0.25,1.0,1.0,1.0,inf,0.25,inf,0.8571,0.9189,0.7746,0.75,0.8,0.866,0.0,0.75,0.875,0.125,0.75,0.875,1.0425743877887725,18.891873520612716,0.037706851959228516,2.9674290776252747,42.39006834626198,43.43264273405075
29,"CVSC FMT ('C', 'O', 'B')",40.0,14.0,14.0,6.0,6.0,0.5,0.7,0.7,0.7,0.3,0.3,1.0,1.0,0.7,0.3,0.3,0.7,1.0,1.0,2.3333,0.4286,5.444,0.7,0.7,0.4,0.3999999999999999,0.3999999999999999,0.7,0.3956,0.5385,0.7,0.3,0.5385,0.7,1.7211308360099793,49.76166296005249,0.2567399203777313,4.402946364879608,98.1494760632515,99.87060689926147
30,CVSC MOG2 0,40.0,16.0,20.0,0.0,4.0,0.5,0.9,1.0,0.8333,0.0,0.1667,1.0,1.0,0.8,0.0,0.2,1.0,1.0,1.0,inf,0.2,inf,0.8889,0.9379,0.8165,0.8,0.8332999999999999,0.8944,0.0,0.8,0.9,0.1,0.8,0.9,1.480931168794632,28.72982590198517,0.13296931982040405,5.0295436680316925,57.12007777690887,58.601008945703505
31,"CVSC CNT2 ('O', 'B')",40.0,17.0,13.0,7.0,3.0,0.5,0.75,0.7083,0.8125,0.2917,0.1875,1.0,1.0,0.85,0.35,0.15,0.65,1.0,1.0,2.4286,0.2308,10.5225,0.7727,0.741,0.5103,0.5,0.5207999999999999,0.7759,0.3909,0.6296,0.75,0.25,0.6296,0.75,1.0466897070407868,58.60434468388557,0.2676309525966644,11.756524276733398,108.48531946539879,109.53200917243957
32,"CVSC FMT ('C', 'O', 'D', 'B')",40.0,14.0,14.0,6.0,6.0,0.5,0.7,0.7,0.7,0.3,0.3,1.0,1.0,0.7,0.3,0.3,0.7,1.0,1.0,2.3333,0.4286,5.444,0.7,0.7,0.4,0.3999999999999999,0.3999999999999999,0.7,0.3956,0.5385,0.7,0.3,0.5385,0.7,1.7420854091644287,48.223073315620425,0.25375834107398987,4.045883369445801,95.0479759633541,96.79006137251854
33,"CVSC FMT ('O', 'D', 'T')",40.0,7.0,20.0,0.0,13.0,0.5,0.675,1.0,0.6061,0.0,0.3939,1.0,1.0,0.35,0.0,0.65,1.0,1.0,1.0,inf,0.65,inf,0.5185,0.6704,0.4606,0.3500000000000001,0.6061000000000001,0.5916,0.0,0.35,0.675,0.325,0.35,0.675,2.865297317504883,11.425867009162904,0.06704342961311341,3.8759803771972647,51.80156348347664,54.666860800981524
34,"CVSC FMT ('C', 'D', 'B', 'T')",40.0,16.0,19.0,1.0,4.0,0.5,0.875,0.9412,0.8261,0.0588,0.1739,1.0,1.0,0.8,0.05,0.2,0.95,1.0,1.0,16.0,0.2105,76.0095,0.8649,0.8992,0.7586,0.75,0.7673000000000001,0.8677,0.2,0.7619,0.875,0.125,0.7619,0.875,2.0212032079696653,25.383204317092897,0.10823930501937866,4.849487024545669,67.15858393907547,69.17978714704513
35,"CVSC MOG2 ('T',)",40.0,16.0,20.0,0.0,4.0,0.5,0.9,1.0,0.8333,0.0,0.1667,1.0,1.0,0.8,0.0,0.2,1.0,1.0,1.0,inf,0.2,inf,0.8889,0.9379,0.8165,0.8,0.8332999999999999,0.8944,0.0,0.8,0.9,0.1,0.8,0.9,0.9905249834060669,23.766727483272554,0.0808665931224823,3.901416230201721,46.31083679199219,47.301361775398256
36,"CVSC CNT2 ('D',)",40.0,18.0,15.0,5.0,2.0,0.5,0.825,0.7826,0.8824,0.2174,0.1176,1.0,1.0,0.9,0.25,0.1,0.75,1.0,1.0,3.6,0.1333,27.0068,0.8372,0.8106,0.6574,0.6499999999999999,0.665,0.8392,0.3451,0.72,0.825,0.175,0.72,0.825,0.9680314540863038,54.41387898921967,0.18562543392181396,9.02807276248932,103.63522805571556,104.60325950980186
37,"CVSC1 ('O', 'T')",40.0,0.0,20.0,0.0,20.0,0.5,0.5,,0.5,,0.5,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,,,,,0.0,,,,0.0,0.5,0.5,0.0,0.5,0.6704130291938781,0.0,0.0,0.0,28.210039961338044,28.88045299053192
38,"CVSC FMT ('C', 'D')",40.0,14.0,14.0,6.0,6.0,0.5,0.7,0.7,0.7,0.3,0.3,1.0,1.0,0.7,0.3,0.3,0.7,1.0,1.0,2.3333,0.4286,5.444,0.7,0.7,0.4,0.3999999999999999,0.3999999999999999,0.7,0.3956,0.5385,0.7,0.3,0.5385,0.7,1.6965181529521942,47.09517412185669,0.25897436738014223,3.3738464057445525,92.6780845463276,94.37460269927979
39,"CVSC CNT2 ('C', 'O', 'D', 'T')",40.0,0.0,20.0,0.0,20.0,0.5,0.5,,0.5,,0.5,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,,,,,0.0,,,,0.0,0.5,0.5,0.0,0.5,0.7062882006168365,0.0,0.0,0.0,31.16845005750656,31.874738258123397
40,"CVSC1 ('D', 'T')",40.0,2.0,20.0,0.0,18.0,0.5,0.55,1.0,0.5263,0.0,0.4737,1.0,1.0,0.1,0.0,0.9,1.0,1.0,1.0,inf,0.9,inf,0.1818,0.2957,0.2294,0.10000000000000009,0.5263,0.3162,0.0,0.1,0.55,0.45,0.1,0.55,0.5574440360069275,1.1846674919128417,0.004796385765075684,0.3132103681564331,26.153672182559966,26.711116218566893
41,"CVSC CNT2 ('C',)",40.0,16.0,13.0,7.0,4.0,0.5,0.725,0.6957,0.7647,0.3043,0.2353,1.0,1.0,0.8,0.35,0.2,0.65,1.0,1.0,2.2857,0.3077,7.4283,0.7442,0.7206,0.4551,0.4500000000000002,0.4603999999999999,0.746,0.3981,0.5926,0.725,0.275,0.5926,0.725,0.8295274615287781,40.40053505897522,0.1163890540599823,6.200282859802246,74.26919341683387,75.09872087836266
42,"CVSC1 ('O', 'D')",40.0,9.0,16.0,4.0,11.0,0.5,0.625,0.6923,0.5926,0.3077,0.4074,1.0,1.0,0.45,0.2,0.55,0.8,1.0,1.0,2.25,0.6875,3.2727,0.5455,0.6059,0.2669,0.25,0.28489999999999993,0.5582,0.4,0.375,0.625,0.375,0.375,0.625,0.9777527391910553,45.78025923371315,0.15849475264549256,5.694106155633927,98.49481200575829,99.47256474494934
43,"CVSC CNT2 ('B', 'T')",40.0,2.0,19.0,1.0,18.0,0.5,0.525,0.6667,0.5135,0.3333,0.4865,1.0,1.0,0.1,0.05,0.9,0.95,1.0,1.0,2.0,0.9474,2.111,0.1739,0.2667,0.0949,0.050000000000000044,0.18019999999999992,0.2582,0.4142,0.0952,0.525,0.475,0.0952,0.525,0.6313291966915131,3.5968098104000092,0.00850214958190918,0.6422338962554932,36.30494480729103,36.93627400398255
44,"CVSC1 ('O', 'D', 'B', 'T')",40.0,1.0,20.0,0.0,19.0,0.5,0.525,1.0,0.5128,0.0,0.4872,1.0,1.0,0.05,0.0,0.95,1.0,1.0,1.0,inf,0.95,inf,0.0952,0.1659,0.1601,0.050000000000000044,0.5127999999999999,0.2236,0.0,0.05,0.525,0.475,0.05,0.525,0.6620550990104676,0.6019142508506775,0.0020338952541351317,0.16628480553627017,28.65585771203041,29.317912811040877
45,"CVSC1 ('C', 'D')",40.0,11.0,15.0,5.0,9.0,0.5,0.65,0.6875,0.625,0.3125,0.375,1.0,1.0,0.55,0.25,0.45,0.75,1.0,1.0,2.2,0.6,3.6667,0.6111,0.6448,0.3062,0.30000000000000004,0.3125,0.6149,0.4027,0.44,0.65,0.35,0.44,0.65,1.0391329526901245,45.588647031784056,0.19070271849632264,4.127122944593429,96.19463057518006,97.23376352787018
46,"CVSC1 ('D', 'B', 'T')",40.0,0.0,20.0,0.0,20.0,0.5,0.5,,0.5,,0.5,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,,,,,0.0,,,,0.0,0.5,0.5,0.0,0.5,0.6615107357501984,0.0,0.0,0.0,27.296011501550673,27.95752223730087
47,"CVSC MOG2 ('C', 'O', 'D')",40.0,16.0,18.0,2.0,4.0,0.5,0.85,0.8889,0.8182,0.1111,0.1818,1.0,1.0,0.8,0.1,0.2,0.9,1.0,1.0,8.0,0.2222,36.0036,0.8421,0.8635,0.7035,0.7000000000000002,0.7071000000000001,0.8433,0.2612,0.7273,0.85,0.15,0.7273,0.85,1.2971331775188446,23.244337743520738,0.07131697535514832,4.391236859560013,49.36698259711265,50.6641157746315
